epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,628.908,1.57453,2.72363,1.0746,0,0,0,0,0,223.806,0,0.00332572,0.00332572,0.00332572
2,1408.98,1.54735,2.06293,1.07446,0,0,0,0,0,168.096,0,0.00659313,0.00659313,0.00659313
3,2261,1.60531,2.03481,1.10004,0,0,0,0,0,164.171,0,0.00979454,0.00979454,0.00979454
4,3149.85,1.64673,1.97137,1.1202,0,0,0,0,0,482.909,0,0.009703,0.009703,0.009703
5,3984.89,1.60419,1.82552,1.1072,0,0,0,0,0,245.843,0,0.009604,0.009604,0.009604
6,4783.27,1.57618,1.7384,1.09081,0,0,0,0,0,357.295,0,0.009505,0.009505,0.009505
7,5606.36,1.54642,1.67155,1.08263,0,0,0,0,0,350.083,0,0.009406,0.009406,0.009406
8,6391.14,1.52789,1.65981,1.07162,0,0,0,0,0,164.166,0,0.009307,0.009307,0.009307
